_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
5e210e1ff9af8b57bb4f5500,0039,"Wed, 01 Jan 2020 02:12:11 GMT","Thu, 02 Jan 2020 00:05:40 GMT","Wed, 01 Jan 2020 06:55:27 GMT",15.813,2_39_139_28_2020-01-01 02:12:11.015844,0002,CA-303,2-39-139-28,America/Los_Angeles,000000838,"[{'WhPerMile': 600, 'kWhRequested': 36.0, 'milesRequested': 60, 'minutesAvailable': 287, 'modifiedAt': 'Wed, 01 Jan 2020 02:12:21 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 01 Jan 2020 06:59:11 GMT', 'userID': 838}]"
5e225f9ff9af8b5c26d21715,0039,"Wed, 01 Jan 2020 09:42:14 GMT","Thu, 02 Jan 2020 02:25:40 GMT","Wed, 01 Jan 2020 14:42:11 GMT",32.02,2_39_131_30_2020-01-01 09:42:14.259248,0002,CA-305,2-39-131-30,America/Los_Angeles,000000067,"[{'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 720, 'modifiedAt': 'Wed, 01 Jan 2020 09:42:27 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 01 Jan 2020 21:42:14 GMT', 'userID': 67}]"
5e225f9ff9af8b5c26d21716,0039,"Wed, 01 Jan 2020 18:10:34 GMT","Wed, 01 Jan 2020 21:05:40 GMT","Wed, 01 Jan 2020 19:22:56 GMT",2.328,2_39_127_19_2020-01-01 18:10:34.057445,0002,CA-309,2-39-127-19,America/Los_Angeles,000000710,"[{'WhPerMile': 261, 'kWhRequested': 7.83, 'milesRequested': 30, 'minutesAvailable': 458, 'modifiedAt': 'Wed, 01 Jan 2020 18:10:53 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 01:48:34 GMT', 'userID': 710}]"
5e225f9ff9af8b5c26d21717,0039,"Wed, 01 Jan 2020 19:44:51 GMT","Thu, 02 Jan 2020 01:23:37 GMT","Wed, 01 Jan 2020 22:43:57 GMT",19.868,2_39_79_377_2020-01-01 19:44:51.127414,0002,CA-325,2-39-79-377,America/Los_Angeles,000000248,"[{'WhPerMile': 250, 'kWhRequested': 20.0, 'milesRequested': 80, 'minutesAvailable': 338, 'modifiedAt': 'Wed, 01 Jan 2020 19:46:01 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 01:22:51 GMT', 'userID': 248}]"
5e225f9ff9af8b5c26d21718,0039,"Thu, 02 Jan 2020 01:12:29 GMT","Thu, 02 Jan 2020 04:38:39 GMT","Thu, 02 Jan 2020 03:11:48 GMT",8.336,2_39_126_20_2020-01-02 01:12:28.778216,0002,CA-310,2-39-126-20,America/Los_Angeles,000001099,"[{'WhPerMile': 400, 'kWhRequested': 24.0, 'milesRequested': 60, 'minutesAvailable': 125, 'modifiedAt': 'Thu, 02 Jan 2020 01:13:30 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 03:17:29 GMT', 'userID': 1099}]"
5e225f9ff9af8b5c26d21719,0039,"Thu, 02 Jan 2020 04:18:06 GMT","Fri, 03 Jan 2020 00:06:13 GMT","Thu, 02 Jan 2020 06:41:48 GMT",14.731,2_39_79_382_2020-01-02 04:18:06.407434,0002,CA-491,2-39-79-382,America/Los_Angeles,000003267,"[{'WhPerMile': 400, 'kWhRequested': 40.0, 'milesRequested': 100, 'minutesAvailable': 583, 'modifiedAt': 'Thu, 02 Jan 2020 04:18:39 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 14:01:06 GMT', 'userID': 3267}]"
5e23b122f9af8b5fe4b973bf,0039,"Thu, 02 Jan 2020 16:05:15 GMT","Fri, 03 Jan 2020 00:11:51 GMT","Thu, 02 Jan 2020 16:39:20 GMT",2.083,2_39_79_380_2020-01-02 16:05:14.818106,0002,CA-489,2-39-79-380,America/Los_Angeles,000000751,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 590, 'modifiedAt': 'Thu, 02 Jan 2020 16:05:35 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 03 Jan 2020 01:55:15 GMT', 'userID': 751}]"
5e23b122f9af8b5fe4b973c0,0039,"Thu, 02 Jan 2020 16:06:34 GMT","Thu, 02 Jan 2020 17:04:02 GMT","Thu, 02 Jan 2020 16:37:26 GMT",0.855,2_39_79_383_2020-01-02 16:06:34.210024,0002,CA-492,2-39-79-383,America/Los_Angeles,,
5e23b122f9af8b5fe4b973c1,0039,"Thu, 02 Jan 2020 16:31:35 GMT","Fri, 03 Jan 2020 00:29:28 GMT","Fri, 03 Jan 2020 00:29:26 GMT",50.788,2_39_78_366_2020-01-02 16:31:34.854057,0002,CA-323,2-39-78-366,America/Los_Angeles,000003853,"[{'WhPerMile': 360, 'kWhRequested': 64.8, 'milesRequested': 180, 'minutesAvailable': 603, 'modifiedAt': 'Thu, 02 Jan 2020 16:31:59 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 03 Jan 2020 02:34:35 GMT', 'userID': 3853}]"
5e23b122f9af8b5fe4b973c2,0039,"Thu, 02 Jan 2020 17:25:53 GMT","Fri, 03 Jan 2020 02:14:55 GMT","Thu, 02 Jan 2020 19:23:42 GMT",4.187,2_39_138_29_2020-01-02 17:25:52.764723,0002,CA-304,2-39-138-29,America/Los_Angeles,000000620,"[{'WhPerMile': 400, 'kWhRequested': 12.0, 'milesRequested': 30, 'minutesAvailable': 421, 'modifiedAt': 'Thu, 02 Jan 2020 17:26:03 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 03 Jan 2020 00:26:53 GMT', 'userID': 620}]"
